# t0_us	theta_over_pi_weighted_mean
5.33513514	0.53587836
5.34324324	0.531823962
5.35135135	0.528053165
5.35945946	0.524566098
5.36756757	0.52136284
5.37567568	0.518443418
5.38378378	0.515807804
5.39189189	0.513455919
5.4	0.51138763
5.40810811	0.509602746
5.41621622	0.508101026
5.42432432	0.506882169
5.43243243	0.505945821
5.44054054	0.50529157
5.44864865	0.504918948
5.45675676	0.504827428
5.46486486	0.505016426
5.47297297	0.5054853
5.48108108	0.506233347
5.48918919	0.507259806
5.4972973	0.508563856
5.50540541	0.510144616
5.51351351	0.512001143
5.52162162	0.514132433
5.52972973	0.516537421
5.53783784	0.51921498
5.54594595	0.522163921
5.55405405	0.52538299
5.56216216	0.528870873
5.57027027	0.532626192
5.57837838	0.536647502
5.58648649	0.540933299
5.59459459	0.545482011
5.6027027	0.550292005
5.61081081	0.555361579
5.61891892	0.560688971
5.62702703	0.56627235
5.63513514	0.572109822
5.64324324	0.578199429
5.65135135	0.584539144
5.65945946	0.591126879
5.66756757	0.597960478
5.67567568	0.60503772
5.68378378	0.612356319
5.69189189	0.619913925
5.7	0.627708121
5.70810811	0.635736427
5.71621622	0.643996297
5.72432432	0.65248512
5.73243243	0.661200222
5.74054054	0.670138864
5.74864865	0.679298245
5.75675676	0.688675498
5.76486486	0.698267695
5.77297297	0.708071844
5.78108108	0.718084892
5.78918919	0.728303725
5.7972973	0.738725165
5.80540541	0.749345976
5.81351351	0.760162861
5.82162162	0.771172465
5.82972973	0.782371372
5.83783784	0.793756111
5.84594595	0.80532315
5.85405405	0.817068903
5.86216216	0.828989729
5.87027027	0.841081932
5.87837838	0.853341759
5.88648649	0.865765409
5.89459459	0.878349024
5.9027027	0.8910887
5.91081081	0.90398048
5.91891892	0.917020358
5.92702703	0.930204282
5.93513514	0.943528153
5.94324324	0.956987825
5.95135135	0.97057911
5.95945946	0.984297776
5.96756757	0.998139549
5.97567568	1.01210012
5.98378378	1.02617512
5.99189189	1.04036018
6	1.05465087
6.00810811	1.06904271
6.01621622	1.08353123
6.02432432	1.09811189
6.03243243	1.11278014
6.04054054	1.12753139
6.04864865	1.14236103
6.05675676	1.15726443
6.06486486	1.17223693
6.07297297	1.18727383
6.08108108	1.20237044
6.08918919	1.21752205
6.0972973	1.2327239
6.10540541	1.24797124
6.11351351	1.26325932
6.12162162	1.27858334
6.12972973	1.29393853
6.13783784	1.30932009
6.14594595	1.32472321
6.15405405	1.3401431
6.16216216	1.35557493
6.17027027	1.37101391
6.17837838	1.38645523
6.18648649	1.40189408
6.19459459	1.41732566
6.2027027	1.43274519
6.21081081	1.44814789
6.21891892	1.46352898
6.22702703	1.4788837
6.23513514	1.49420733
6.24324324	1.50949512
6.25135135	1.52474238
6.25945946	1.53994443
6.26756757	1.55509659
6.27567568	1.57019424
6.28378378	1.58523277
6.29189189	1.60020759
6.3	1.61511415
6.30810811	1.62994794
6.31621622	1.64470448
6.32432432	1.65937931
6.33243243	1.67396804
6.34054054	1.68846629
6.34864865	1.70286974
6.35675676	1.71717411
6.36486486	1.73137516
6.37297297	1.7454687
6.38108108	1.7594506
6.38918919	1.77331676
6.3972973	1.78706317
6.40540541	1.80068582
6.41351351	1.81418081
6.42162162	1.82754426
6.42972973	1.84077238
6.43783784	1.85386141
6.44594595	1.86680767
6.45405405	1.87960756
6.46216216	1.89225751
6.47027027	1.90475404
6.47837838	1.91709374
6.48648649	1.92927327
6.49459459	1.94128935
6.5027027	1.95313879
6.51081081	1.96481845
6.51891892	1.97632529
6.52702703	1.98765634
6.53513514	1.99880871
6.54324324	2.00977957
6.55135135	2.0205662
6.55945946	2.03116594
6.56756757	2.04157622
6.57567568	2.05179455
6.58378378	2.06181854
6.59189189	2.07164587
6.6	2.0812743
6.60810811	2.0907017
6.61621622	2.099926
6.62432432	2.10894525
6.63243243	2.11775756
6.64054054	2.12636115
6.64864865	2.13475432
6.65675676	2.14293546
6.66486486	2.15090306
6.67297297	2.1586557
6.68108108	2.16619204
6.68918919	2.17351085
6.6972973	2.18061099
6.70540541	2.1874914
6.71351351	2.19415113
6.72162162	2.2005893
6.72972973	2.20680516
6.73783784	2.21279802
6.74594595	2.2185673
6.75405405	2.2241125
6.76216216	2.22943324
6.77027027	2.23452922
6.77837838	2.23940021
6.78648649	2.2440461
6.79459459	2.24846687
6.8027027	2.25266259
6.81081081	2.25663342
6.81891892	2.26037961
6.82702703	2.2639015
6.83513514	2.26719952
6.84324324	2.2702742
6.85135135	2.27312614
6.85945946	2.27575606
6.86756757	2.27816473
6.87567568	2.28035304
6.88378378	2.28232195
6.89189189	2.28407249
6.9	2.28560582
6.90810811	2.28692314
6.91621622	2.28802575
6.92432432	2.28891503
6.93243243	2.28959245
6.94054054	2.29005954
6.94864865	2.29031793
6.95675676	2.29036932
6.96486486	2.29021548
6.97297297	2.28985826
6.98108108	2.28929958
6.98918919	2.28854145
6.9972973	2.28758592
7.00540541	2.28643515
7.01351351	2.28509133
7.02162162	2.28355674
7.02972973	2.28183372
7.03783784	2.27992468
7.04594595	2.2778321
7.05405405	2.27555849
7.06216216	2.27310645
7.07027027	2.27047864
7.07837838	2.26767776
7.08648649	2.26470657
7.09459459	2.2615679
7.1027027	2.25826462
7.11081081	2.25479964
7.11891892	2.25117595
7.12702703	2.24739657
7.13513514	2.24346455
7.14324324	2.23938303
7.15135135	2.23515514
7.15945946	2.23078409
7.16756757	2.22627312
7.17567568	2.22162551
7.18378378	2.21684456
7.19189189	2.21193364
7.2	2.20689611
7.20810811	2.2017354
7.21621622	2.19645496
7.22432432	2.19105825
7.23243243	2.18554879
7.24054054	2.17993009
7.24864865	2.17420572
7.25675676	2.16837924
7.26486486	2.16245425
7.27297297	2.15643438
7.28108108	2.15032324
7.28918919	2.1441245
7.2972973	2.13784182
7.30540541	2.13147887
7.31351351	2.12503935
7.32162162	2.11852696
7.32972973	2.11194541
7.33783784	2.10529841
7.34594595	2.0985897
7.35405405	2.091823
7.36216216	2.08500204
7.37027027	2.07813057
7.37837838	2.0712123
7.38648649	2.064251
7.39459459	2.05725037
7.4027027	2.05021416
7.41081081	2.0431461
7.41891892	2.0360499
7.42702703	2.02892929
7.43513514	2.02178796
7.44324324	2.01462962
7.45135135	2.00745796
7.45945946	2.00027666
7.46756757	1.99308937
7.47567568	1.98589977
7.48378378	1.97871148
7.49189189	1.97152813
7.5	1.96435334
7.50810811	1.95719069
7.51621622	1.95004376
7.52432432	1.94291612
7.53243243	1.93581129
7.54054054	1.9287328
7.54864865	1.92168415
7.55675676	1.91466881
7.56486486	1.90769025
7.57297297	1.9007519
7.58108108	1.89385716
7.58918919	1.88700943
7.5972973	1.88021207
7.60540541	1.87346842
7.61351351	1.8667818
