# t_us	I_over_time_mean
12.9772987	0.608592222
12.9935204	0.594833534
13.009742	0.581070305
13.0259636	0.567306695
13.0421852	0.553547113
13.0584069	0.539796215
13.0746285	0.526058901
13.0908501	0.512340315
13.1070717	0.498645844
13.1232934	0.484981112
13.139515	0.471351978
13.1557366	0.457764537
13.1719582	0.444225109
13.1881798	0.430740242
13.2044015	0.417316703
13.2206231	0.403961475
13.2368447	0.390681751
13.2530663	0.377484929
13.269288	0.364378604
13.2855096	0.351370563
13.3017312	0.338468777
13.3179528	0.325681393
13.3341745	0.313016728
13.3503961	0.300483257
13.3666177	0.288089604
13.3828393	0.275844537
13.3990609	0.263756951
13.4152826	0.251835863
13.4315042	0.240090399
13.4477258	0.228529781
13.4639474	0.217163316
13.4801691	0.206000384
13.4963907	0.195050426
13.5126123	0.184322927
13.5288339	0.173827409
13.5450556	0.163573407
13.5612772	0.153570467
13.5774988	0.143828119
13.5937204	0.134355873
13.6099421	0.125163194
13.6261637	0.116259497
13.6423853	0.107654121
13.6586069	0.0993563203
13.6748285	0.0913752473
13.6910502	0.0837199352
13.7072718	0.076399283
13.7234934	0.0694220401
13.739715	0.0627967899
13.7559367	0.0565319342
13.7721583	0.0506356782
13.7883799	0.0451160148
13.8046015	0.0399807094
13.8208232	0.0352372857
13.8370448	0.0308930107
13.8532664	0.0269548811
13.869488	0.0234296093
13.8857097	0.0203236105
13.9019313	0.0176429902
13.9181529	0.0153935317
13.9343745	0.0135806852
13.9505961	0.0122095563
13.9668178	0.0112848965
13.9830394	0.0108110934
13.999261	0.0107921622
14.0154826	0.0112317376
14.0317043	0.012133067
14.0479259	0.0134990039
14.0641475	0.0153320031
14.0803691	0.0176341156
14.0965908	0.0204069856
14.1128124	0.0236518475
14.129034	0.0273695245
14.1452556	0.0315604276
14.1614772	0.0362245562
14.1776989	0.0413614992
14.1939205	0.0469704371
14.2101421	0.0530501451
14.2263637	0.0595989977
14.2425854	0.0666149733
14.258807	0.0740956604
14.2750286	0.0820382647
14.2912502	0.0904396168
14.3074719	0.0992961809
14.3236935	0.108604065
14.3399151	0.11835903
14.3561367	0.128556502
14.3723584	0.139191585
14.38858	0.150259071
14.4048016	0.161753457
14.4210232	0.173668954
14.4372448	0.185999508
14.4534665	0.198738808
14.4696881	0.211880308
14.4859097	0.225417237
14.5021313	0.23934262
14.518353	0.253649294
14.5345746	0.268329921
14.5507962	0.283377008
14.5670178	0.298782925
14.5832395	0.314539918
14.5994611	0.330640131
14.6156827	0.347075619
14.6319043	0.363838366
14.648126	0.380920301
14.6643476	0.398313317
14.6805692	0.416009283
14.6967908	0.43400006
14.7130124	0.452277516
14.7292341	0.470833544
14.7454557	0.489660069
14.7616773	0.508749066
14.7778989	0.528092569
14.7941206	0.547682684
14.8103422	0.567511599
14.8265638	0.587571594
14.8427854	0.607855047
14.8590071	0.628354445
14.8752287	0.649062389
14.8914503	0.669971599
14.9076719	0.691074918
14.9238936	0.712365316
14.9401152	0.733835891
14.9563368	0.755479871
14.9725584	0.777290612
14.98878	0.799261598
15.0050017	0.821386437
15.0212233	0.843658858
15.0374449	0.866072702
15.0536665	0.888621922
15.0698882	0.91130057
15.0861098	0.93410279
15.1023314	0.957022808
15.118553	0.980054922
15.1347747	1.00319349
15.1509963	1.02643291
15.1672179	1.04976761
15.1834395	1.07319205
15.1996611	1.09670069
15.2158828	1.12028794
15.2321044	1.14394822
15.248326	1.16767588
15.2645476	1.1914652
15.2807693	1.21531038
15.2969909	1.23920549
15.3132125	1.26314449
15.3294341	1.2871212
15.3456558	1.31112925
15.3618774	1.3351621
15.378099	1.35921299
15.3943206	1.38327493
15.4105423	1.40734068
15.4267639	1.43140275
15.4429855	1.45545334
15.4592071	1.47948436
15.4754287	1.50348739
15.4916504	1.52745366
15.507872	1.55137405
15.5240936	1.57523907
15.5403152	1.59903885
15.5565369	1.62276309
15.5727585	1.64640112
15.5889801	1.6699418
15.6052017	1.6933736
15.6214234	1.71668452
15.637645	1.73986212
15.6538666	1.76289352
15.6700882	1.78576537
15.6863099	1.80846388
15.7025315	1.83097478
15.7187531	1.85328338
15.7349747	1.87537452
15.7511963	1.89723259
15.767418	1.91884158
15.7836396	1.94018501
15.7998612	1.96124604
15.8160828	1.98200739
15.8323045	2.00245142
15.8485261	2.02256013
15.8647477	2.04231518
15.8809693	2.0616979
15.897191	2.08068933
15.9134126	2.09927026
15.9296342	2.11742122
15.9458558	2.13512254
15.9620774	2.15235438
15.9782991	2.16909675
15.9945207	2.18532956
16.0107423	2.20103266
16.0269639	2.21618585
16.0431856	2.23076896
16.0594072	2.24476187
16.0756288	2.25814455
16.0918504	2.27089712
16.1080721	2.28299987
16.1242937	2.29443333
16.1405153	2.30517832
16.1567369	2.31521598
16.1729586	2.32452781
16.1891802	2.33309575
16.2054018	2.3409022
16.2216234	2.3479301
16.237845	2.35416292
16.2540667	2.3595848
16.2702883	2.36418049
16.2865099	2.36793549
16.3027315	2.37083605
16.3189532	2.37286921
16.3351748	2.37402289
16.3513964	2.37428587
16.367618	2.37364788
16.3838397	2.37209964
16.4000613	2.36963286
16.4162829	2.36624032
16.4325045	2.36191588
16.4487262	2.35665454
16.4649478	2.35045243
16.4811694	2.34330686
16.497391	2.33521639
16.5136126	2.32618075
16.5298343	2.31620098
16.5460559	2.30527937
16.5622775	2.29341948
16.5784991	2.28062621
16.5947208	2.26690573
16.6109424	2.25226556
16.627164	2.23671451
16.6433856	2.22026274
