# t_us	I_over_time_mean_weighted
5.01248164	0.149733121
5.02870326	0.158502737
5.04492488	0.167565999
5.06114651	0.176920742
5.07736813	0.186564232
5.09358976	0.196493172
5.10981138	0.206703706
5.126033	0.21719142
5.14225463	0.227951357
5.15847625	0.23897802
5.17469787	0.250265387
5.1909195	0.261806924
5.20714112	0.273595593
5.22336274	0.285623878
5.23958437	0.297883791
5.25580599	0.310366898
5.27202761	0.323064338
5.28824924	0.335966839
5.30447086	0.349064746
5.32069248	0.36234804
5.33691411	0.375806366
5.35313573	0.389429056
5.36935735	0.403205154
5.38557898	0.417123445
5.4018006	0.431172483
5.41802222	0.445340615
5.43424385	0.459616013
5.45046547	0.473986705
5.46668709	0.488440598
5.48290872	0.50296551
5.49913034	0.517549204
5.51535196	0.53217941
5.53157359	0.546843859
5.54779521	0.561530311
5.56401683	0.576226584
5.58023846	0.590920581
5.59646008	0.605600321
5.6126817	0.620253963
5.62890333	0.634869836
5.64512495	0.649436462
5.66134657	0.663942582
5.6775682	0.678377183
5.69378982	0.692729518
5.71001145	0.706989128
5.72623307	0.721145867
5.74245469	0.735189918
5.75867632	0.749111817
5.77489794	0.762902462
5.79111956	0.776553138
5.80734119	0.790055529
5.82356281	0.803401728
5.83978443	0.816584256
5.85600606	0.829596065
5.87222768	0.842430555
5.8884493	0.855081575
5.90467093	0.867543433
5.92089255	0.879810903
5.93711417	0.891879222
5.9533358	0.903744097
5.96955742	0.915401705
5.98577904	0.926848689
6.00200067	0.93808216
6.01822229	0.94909969
6.03444391	0.959899307
6.05066554	0.97047949
6.06688716	0.980839162
6.08310878	0.990977679
6.09933041	1.00089482
6.11555203	1.01059078
6.13177365	1.02006615
6.14799528	1.0293219
6.1642169	1.0383594
6.18043852	1.04718035
6.19666015	1.05578681
6.21288177	1.06418115
6.22910339	1.07236606
6.24532502	1.08034451
6.26154664	1.08811975
6.27776827	1.09569529
6.29398989	1.10307486
6.31021151	1.1102624
6.32643314	1.11726207
6.34265476	1.12407818
6.35887638	1.1307152
6.37509801	1.13717774
6.39131963	1.14347053
6.40754125	1.14959839
6.42376288	1.15556621
6.4399845	1.16137895
6.45620612	1.1670416
6.47242775	1.17255918
6.48864937	1.1779367
6.50487099	1.18317917
6.52109262	1.18829155
6.53731424	1.19327877
6.55353586	1.19814568
6.56975749	1.20289709
6.58597911	1.20753767
6.60220073	1.21207203
6.61842236	1.21650463
6.63464398	1.22083983
6.6508656	1.22508184
6.66708723	1.22923472
6.68330885	1.23330238
6.69953047	1.23728858
6.7157521	1.24119689
6.73197372	1.24503073
6.74819534	1.2487933
6.76441697	1.25248768
6.78063859	1.2561167
6.79686021	1.25968304
6.81308184	1.2631892
6.82930346	1.26663746
6.84552508	1.27002994
6.86174671	1.27336857
6.87796833	1.27665508
6.89418996	1.27989103
6.91041158	1.28307783
6.9266332	1.28621668
6.94285483	1.28930863
6.95907645	1.29235459
6.97529807	1.29535529
6.9915197	1.29831132
7.00774132	1.30122316
7.02396294	1.30409111
7.04018457	1.3069154
7.05640619	1.3096961
7.07262781	1.31243322
7.08884944	1.31512665
7.10507106	1.31777619
7.12129268	1.32038158
7.13751431	1.32294249
7.15373593	1.32545852
7.16995755	1.32792923
7.18617918	1.33035414
7.2024008	1.33273275
7.21862242	1.33506453
7.23484405	1.33734893
7.25106567	1.33958542
7.26728729	1.34177345
7.28350892	1.3439125
7.29973054	1.34600206
7.31595216	1.34804165
7.33217379	1.35003082
7.34839541	1.35196916
7.36461703	1.35385632
7.38083866	1.35569197
7.39706028	1.35747586
7.4132819	1.35920778
7.42950353	1.36088761
7.44572515	1.36251525
7.46194678	1.36409072
7.4781684	1.36561405
7.49439002	1.36708539
7.51061165	1.36850494
7.52683327	1.36987295
7.54305489	1.37118977
7.55927652	1.37245581
7.57549814	1.37367154
7.59171976	1.37483749
7.60794139	1.37595426
7.62416301	1.37702251
7.64038463	1.37804295
7.65660626	1.37901634
7.67282788	1.37994349
7.6890495	1.38082526
7.70527113	1.38166253
7.72149275	1.38245622
7.73771437	1.38320729
7.753936	1.38391669
7.77015762	1.38458542
7.78637924	1.38521447
7.80260087	1.38580483
7.81882249	1.38635751
7.83504411	1.38687348
7.85126574	1.38735372
7.86748736	1.38779918
7.88370898	1.3882108
7.89993061	1.38858945
7.91615223	1.38893601
7.93237385	1.38925129
7.94859548	1.38953605
7.9648171	1.38979102
7.98103872	1.39001686
7.99726035	1.39021417
8.01348197	1.39038348
8.02970359	1.39052527
8.04592522	1.39063994
8.06214684	1.39072782
8.07836847	1.39078917
8.09459009	1.39082416
8.11081171	1.3908329
8.12703334	1.39081542
8.14325496	1.39077166
8.15947658	1.39070149
8.17569821	1.39060471
8.19191983	1.39048104
8.20814145	1.39033012
8.22436308	1.39015153
8.2405847	1.38994478
8.25680632	1.3897093
8.27302795	1.38944448
8.28924957	1.38914962
8.30547119	1.38882401
8.32169282	1.38846684
8.33791444	1.3880773
8.35413606	1.3876545
8.37035769	1.38719755
8.38657931	1.38670551
8.40280093	1.38617741
8.41902256	1.38561228
8.43524418	1.38500913
8.4514658	1.38436697
8.46768743	1.38368479
8.48390905	1.38296161
8.50013067	1.38219644
8.5163523	1.38138833
8.53257392	1.38053633
8.54879554	1.37963953
8.56501717	1.37869705
8.58123879	1.37770807
8.59746041	1.37667177
8.61368204	1.37558742
8.62990366	1.37445433
8.64612529	1.37327185
8.66234691	1.37203941
8.67856853	1.3707565
8.69479016	1.36942265
8.71101178	1.36803749
8.7272334	1.36660071
8.74345503	1.36511206
8.75967665	1.36357136
8.77589827	1.36197851
8.7921199	1.36033346
8.80834152	1.35863626
8.82456314	1.35688699
8.84078477	1.35508582
8.85700639	1.35323297
8.87322801	1.35132872
8.88944964	1.34937339
8.90567126	1.34736737
8.92189288	1.34531107
8.93811451	1.34320496
8.95433613	1.34104953
8.97055775	1.33884528
8.98677938	1.33659276
9.003001	1.33429251
9.01922262	1.33194506
9.03544425	1.32955095
9.05166587	1.32711072
9.06788749	1.32462485
9.08410912	1.32209382
9.10033074	1.31951805
9.11655236	1.3168979
9.13277399	1.31423371
9.14899561	1.3115257
9.16521723	1.30877404
9.18143886	1.30597881
9.19766048	1.30313999
9.2138821	1.30025743
9.23010373	1.29733091
9.24632535	1.29436004
9.26254698	1.29134433
9.2787686	1.28828313
9.29499022	1.28517565
9.31121185	1.28202095
9.32743347	1.27881791
9.34365509	1.27556526
9.35987672	1.27226157
9.37609834	1.26890519
9.39231996	1.26549434
9.40854159	1.26202702
9.42476321	1.25850107
9.44098483	1.25491412
9.45720646	1.25126362
9.47342808	1.24754684
9.4896497	1.24376085
9.50587133	1.23990256
9.52209295	1.23596868
9.53831457	1.23195573
9.5545362	1.22786008
9.57075782	1.22367794
9.58697944	1.21940533
9.60320107	1.21503813
9.61942269	1.2105721
9.63564431	1.20600284
9.65186594	1.20132583
9.66808756	1.19653645
9.68430918	1.19162996
9.70053081	1.18660157
9.71675243	1.18144638
9.73297405	1.17615945
9.74919568	1.1707358
9.7654173	1.16517042
9.78163892	1.1594583
9.79786055	1.15359441
9.81408217	1.14757379
9.83030379	1.1413915
9.84652542	1.13504266
9.86274704	1.12852247
9.87896867	1.12182626
9.89519029	1.11494946
9.91141191	1.10788764
9.92763354	1.10063654
9.94385516	1.09319208
9.96007678	1.08555037
9.97629841	1.07770777
9.99252003	1.06966084
10.0087417	1.06140644
10.0249633	1.05294168
10.0411849	1.04426398
10.0574065	1.03537105
10.0736281	1.02626098
10.0898498	1.01693215
10.1060714	1.00738334
10.122293	0.9976137
10.1385146	0.987622769
10.1547363	0.977410488
10.1709579	0.966977219
10.1871795	0.95632375
10.2034011	0.945451304
10.2196228	0.934361553
10.2358444	0.923056618
10.252066	0.911539082
10.2682876	0.899811989
10.2845093	0.887878851
10.3007309	0.875743649
10.3169525	0.863410831
10.3331741	0.850885314
10.3493957	0.838172483
