# t0_us	theta_over_pi_weighted_mean
3.08108108	0.0278539248
3.08918919	0.0271648429
3.0972973	0.0264858477
3.10540541	0.0258171729
3.11351351	0.02515904
3.12162162	0.0245116591
3.12972973	0.0238752292
3.13783784	0.023249938
3.14594595	0.0226359631
3.15405405	0.0220334716
3.16216216	0.0214426211
3.17027027	0.0208635599
3.17837838	0.0202964275
3.18648649	0.0197413548
3.19459459	0.0191984652
3.2027027	0.0186678744
3.21081081	0.0181496915
3.21891892	0.017644019
3.22702703	0.0171509538
3.23513514	0.0166705876
3.24324324	0.0162030073
3.25135135	0.0157482958
3.25945946	0.0153065325
3.26756757	0.0148777939
3.27567568	0.0144621541
3.28378378	0.0140596858
3.29189189	0.0136704603
3.3	0.0132945487
3.30810811	0.0129320221
3.31621622	0.0125829528
3.32432432	0.012247414
3.33243243	0.0119254816
3.34054054	0.0116172337
3.34864865	0.0113227522
3.35675676	0.0110421228
3.36486486	0.0107754358
3.37297297	0.0105227871
3.38108108	0.0102842782
3.38918919	0.0100600173
3.3972973	0.00985011965
3.40540541	0.0096547085
3.41351351	0.00947391534
3.42162162	0.0093078807
3.42972973	0.00915675472
3.43783784	0.0090206977
3.44594595	0.00889988071
3.45405405	0.00879448614
3.46216216	0.00870470826
3.47027027	0.00863075374
3.47837838	0.0085728422
3.48648649	0.00853120672
3.49459459	0.00850609434
3.5027027	0.00849776652
3.51081081	0.00850649967
3.51891892	0.00853258553
3.52702703	0.00857633165
3.53513514	0.0086380618
3.54324324	0.00871811637
3.55135135	0.00881685273
3.55945946	0.00893464565
3.56756757	0.00907188755
3.57567568	0.00922898891
3.58378378	0.00940637852
3.59189189	0.00960450379
3.6	0.00982383095
3.60810811	0.0100648454
3.61621622	0.0103280517
3.62432432	0.0106139741
3.63243243	0.0109231564
3.64054054	0.0112561622
3.64864865	0.011613575
3.65675676	0.0119959986
3.66486486	0.0124040564
3.67297297	0.0128383923
3.68108108	0.0132996702
3.68918919	0.0137885743
3.6972973	0.0143058088
3.70540541	0.0148520979
3.71351351	0.015428186
3.72162162	0.0160348373
3.72972973	0.0166728355
3.73783784	0.0173429843
3.74594595	0.0180461065
3.75405405	0.0187830443
3.76216216	0.0195546587
3.77027027	0.0203618297
3.77837838	0.0212054554
3.78648649	0.0220864522
3.79459459	0.0230057542
3.8027027	0.0239643131
3.81081081	0.0249630976
3.81891892	0.0260030929
3.82702703	0.0270853005
3.83513514	0.0282107378
3.84324324	0.0293804374
3.85135135	0.0305954466
3.85945946	0.0318568271
3.86756757	0.0331656542
3.87567568	0.0345230167
3.88378378	0.0359300155
3.89189189	0.0373877639
3.9	0.0388973863
3.90810811	0.0404600179
3.91621622	0.0420768038
3.92432432	0.0437488988
3.93243243	0.045477466
3.94054054	0.0472636766
3.94864865	0.049108709
3.95675676	0.051013748
3.96486486	0.0529799841
3.97297297	0.0550086128
3.98108108	0.0571008335
3.98918919	0.059257849
3.9972973	0.0614808647
4.00540541	0.0637710874
4.01351351	0.0661297248
4.02162162	0.0685579846
4.02972973	0.0710570735
4.03783784	0.0736281964
4.04594595	0.0762725554
4.05405405	0.0789913491
4.06216216	0.0817857717
4.07027027	0.0846570118
4.07837838	0.0876062519
4.08648649	0.0906346672
4.09459459	0.0937434247
4.1027027	0.0969336825
4.11081081	0.100206588
4.11891892	0.10356328
